destino,ida,numpassagens,qtdiarias,requisicao,solicitante,valor,valtotal,volta
BRASILIA - DF,2015-02-02,2,0.5,81087,ADAO ROBERTO RODRIGUES VILLAVERDE,294.74,115.58,2015-02-02
TAQUARI - RS,2015-02-14,0,0.5,81226,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,99.5,2015-02-14
"BENTO GONCALVES - RS,  FARROUPILHA - RS",2015-02-20,0,1.5,81332,ADAO ROBERTO RODRIGUES VILLAVERDE,883.34,159.65,2015-02-21
BRASILIA - DF,2015-03-05,2,0.5,81575,ADAO ROBERTO RODRIGUES VILLAVERDE,372.39,91.3,2015-03-05
FARROUPILHA - RS,2015-03-13,0,0.5,81770,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,8.5,2015-03-13
TAQUARI - RS,2015-03-17,0,0.5,81888,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,25.0,2015-03-17
RIO DE JANEIRO - RJ,2015-03-19,2,1.5,81963,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,0.0,2015-03-20
SANTA MARIA - RS,2015-03-24,0,0.5,82094,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,60.8,2015-03-24
"PAIM FILHO - RS,  ERECHIM - RS",2015-03-27,0,1.5,82168,ADAO ROBERTO RODRIGUES VILLAVERDE,883.34,138.0,2015-03-28
IPE - RS,2015-04-07,0,0.5,82380,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,110.01,2015-04-07
"PASSO FUNDO - RS,  SANTA MARIA - RS",2015-04-09,0,1.5,82448,ADAO ROBERTO RODRIGUES VILLAVERDE,883.34,159.0,2015-04-10
ALEGRETE - RS,2015-04-16,0,1.5,82689,ADAO ROBERTO RODRIGUES VILLAVERDE,883.34,229.8,2015-04-17
GRAMADO - RS,2015-05-02,0,0.5,82989,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,140.0,2015-05-02
RIO DE JANEIRO - RJ,2015-05-14,2,1.5,83276,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,0.0,2015-05-15
GRAMADO - RS,2015-05-15,0,1.0,83310,ADAO ROBERTO RODRIGUES VILLAVERDE,588.89,70.0,2015-05-16
Mendoza - ARGENTINA.,2015-05-31,2,0.5,83985,ADAO ROBERTO RODRIGUES VILLAVERDE,466.14,0.0,2015-05-31
Mendoza - ARGENTINA.,2015-06-01,1,4.0,83985,ADAO ROBERTO RODRIGUES VILLAVERDE,3729.12,0.0,2015-06-04
LAJEADO - RS,2015-06-10,0,0.5,83968,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,24.25,2015-06-10
BRASILIA - DF,2015-06-17,3,1.5,84179,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,22.0,2015-06-18
TAQUARI - RS,2015-07-10,0,0.5,84652,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,19.9,2015-07-10
RIO DE JANEIRO - RJ,2015-07-12,2,1.5,84644,ADAO ROBERTO RODRIGUES VILLAVERDE,1117.16,0.0,2015-07-13
IPE - RS,2015-07-15,0,0.5,84731,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,30.0,2015-07-15
PELOTAS - RS,2015-07-16,0,0.5,84781,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,48.75,2015-07-16
GRAMADO - RS,2015-07-17,0,0.5,84784,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,45.0,2015-07-17
"PASSO FUNDO - RS,  PAIM FILHO - RS,  SAO JOSE DO OURO - RS,  IBIACA - RS,  ERECHIM - RS",2015-07-23,0,1.5,84963,ADAO ROBERTO RODRIGUES VILLAVERDE,883.34,135.0,2015-07-24
"ALEGRETE - RS,  BARRA DO QUARAI - RS",2015-07-30,0,1.0,85098,ADAO ROBERTO RODRIGUES VILLAVERDE,588.89,132.5,2015-07-31
"ALEGRETE - RS,  BARRA DO QUARAI - RS",2015-08-01,0,1.5,85098,ADAO ROBERTO RODRIGUES VILLAVERDE,883.34,74.0,2015-08-01
BOM RETIRO DO SUL - RS,2015-08-12,0,0.5,85246,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,12.0,2015-08-12
TAQUARI - RS,2015-08-16,0,0.5,85528,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,60.0,2015-08-16
"IPE - RS,  FARROUPILHA - RS",2015-08-27,0,0.5,85591,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,41.0,2015-08-27
FLORIANOPOLIS - SC,2015-08-31,2,0.5,85636,ADAO ROBERTO RODRIGUES VILLAVERDE,372.39,0.0,2015-08-31
TAQUARI - RS,2015-09-18,0,0.5,86081,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,17.3,2015-09-18
GRAMADO - RS,2015-09-24,0,0.5,86228,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,22.5,2015-09-24
"BOM RETIRO DO SUL - RS,  BENTO GONCALVES - RS",2015-09-25,0,1.0,86236,ADAO ROBERTO RODRIGUES VILLAVERDE,588.89,220.42,2015-09-26
SANTA CRUZ DO SUL - RS,2015-09-27,0,0.5,86245,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,15.25,2015-09-27
BRASILIA - DF,2015-10-05,2,0.5,86353,ADAO ROBERTO RODRIGUES VILLAVERDE,372.39,150.0,2015-10-05
BENTO GONCALVES - RS,2015-10-14,0,0.5,86595,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,26.26,2015-10-14
ANTONIO PRADO - RS,2015-10-16,0,0.5,86688,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,88.71,2015-10-16
CAMAQUA - RS,2015-10-17,0,0.5,86693,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,20.0,2015-10-17
ALEGRETE - RS,2015-10-22,0,1.0,86853,ADAO ROBERTO RODRIGUES VILLAVERDE,588.89,65.0,2015-10-23
SANTA CRUZ DO SUL - RS,2015-10-27,0,0.5,86928,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,193.0,2015-10-27
"SANTANA DO LIVRAMENTO - RS,  ALEGRETE - RS",2015-10-28,0,2.0,87037,ADAO ROBERTO RODRIGUES VILLAVERDE,1177.78,167.0,2015-10-30
GRAMADO - RS,2015-11-13,0,0.5,87332,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,20.0,2015-11-13
TRAMANDAI - RS,2015-11-14,0,0.5,87336,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,167.0,2015-11-14
SAO PAULO - SP,2015-12-03,2,1.0,87884,ADAO ROBERTO RODRIGUES VILLAVERDE,744.77,534.37,2015-12-04
TAQUARI - RS,2015-12-05,0,0.5,87885,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,15.0,2015-12-05
"TAQUARI - RS,  SANTA MARIA - RS",2015-12-06,0,0.5,87886,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,69.8,2015-12-06
SANTA CRUZ DO SUL - RS,2015-12-11,0,0.5,87982,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,11.5,2015-12-11
TAQUARI - RS,2015-12-13,0,0.5,87986,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,25.0,2015-12-13
BAGE - RS,2015-12-18,0,0.5,88039,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,68.4,2015-12-18
FLORES DA CUNHA - RS,2015-12-19,0,1.0,88076,ADAO ROBERTO RODRIGUES VILLAVERDE,588.89,164.5,2015-12-20
TAQUARI - RS,2015-12-21,0,0.5,88104,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,110.0,2015-12-21
SANTA CRUZ DO SUL - RS,2015-12-22,0,0.5,88068,ADAO ROBERTO RODRIGUES VILLAVERDE,294.45,19.5,2015-12-22
SANTA VITORIA DO PALMAR - RS,2015-02-27,0,0.5,81499,ADILSON TROCA,294.45,9.0,2015-02-27
CAXIAS DO SUL - RS,2015-05-18,0,0.5,83456,ADILSON TROCA,294.45,28.5,2015-05-18
BRASILIA - DF,2015-05-26,0,0.5,83575,ADILSON TROCA,372.39,51.0,2015-05-26
SANTA VITORIA DO PALMAR - RS,2015-06-12,0,0.5,83954,ADILSON TROCA,294.45,98.0,2015-06-12
PIRATINI - RS,2015-06-27,0,0.5,84367,ADILSON TROCA,294.45,167.02,2015-06-27
BENTO GONCALVES - RS,2015-08-26,0,0.5,85543,ADILSON TROCA,294.45,22.4,2015-08-26
NOVA PETROPOLIS - RS,2015-09-27,0,0.5,86284,ADILSON TROCA,294.45,27.8,2015-09-27
CANGUCU - RS,2015-11-30,0,0.5,87734,ADILSON TROCA,294.45,154.64,2015-11-30
ARROIO DO TIGRE - RS,2015-02-06,0,1.5,81100,ADOLFO JOSE BRITO,883.34,34.0,2015-02-07
SOBRADINHO - RS,2015-02-13,0,1.5,81275,ADOLFO JOSE BRITO,883.34,131.0,2015-02-14
ARROIO DO TIGRE - RS,2015-02-22,0,0.5,81276,ADOLFO JOSE BRITO,294.45,8.75,2015-02-22
"SANTA CRUZ DO SUL - RS,  SEGREDO - RS,  CANDELARIA - RS,  ESTRELA VELHA - RS,  ESPUMOSO - RS,  VALE DO SOL - RS",2015-02-26,0,2.5,81571,ADOLFO JOSE BRITO,1472.23,110.57,2015-02-28
BRASILIA - DF,2015-03-02,3,2.5,81570,ADOLFO JOSE BRITO,1861.93,0.0,2015-03-04
"SOBRADINHO - RS,  IBARAMA - RS,  LAGOA BONITA DO SUL - RS",2015-03-06,0,2.5,81572,ADOLFO JOSE BRITO,1472.23,164.0,2015-03-08
"ARROIO DO TIGRE - RS,  CANDELARIA - RS",2015-03-13,0,1.5,81768,ADOLFO JOSE BRITO,883.34,146.5,2015-03-14
"TUNAS - RS,  LAGOAO - RS,  ARROIO DO TIGRE - RS,  CANDELARIA - RS",2015-03-20,0,2.5,81965,ADOLFO JOSE BRITO,1472.23,35.5,2015-03-22
"VENANCIO AIRES - RS,  CANDELARIA - RS,  ARROIO DO TIGRE - RS",2015-03-27,0,2.5,82118,ADOLFO JOSE BRITO,1472.23,137.5,2015-03-29
"VALE DO SOL - RS,  PARAISO DO SUL - RS,  PINHAL GRANDE - RS,  AGUDO - RS,  DONA FRANCISCA - RS,  CANDELARIA - RS",2015-04-24,0,2.5,82728,ADOLFO JOSE BRITO,1472.23,322.09000000000003,2015-04-26
ARROIO DO TIGRE - RS,2015-04-29,0,0.5,82909,ADOLFO JOSE BRITO,294.45,22.5,2015-04-29
"VERA CRUZ - RS,  VALE DO SOL - RS,  ARROIO DO TIGRE - RS",2015-05-01,0,1.5,82964,ADOLFO JOSE BRITO,883.34,182.92000000000002,2015-05-02
"AGUDO - RS,  LAGOA BONITA DO SUL - RS,  CANDELARIA - RS,  PASSA SETE - RS",2015-05-15,0,2.5,83286,ADOLFO JOSE BRITO,1472.23,38.0,2015-05-17
"LAGOAO - RS,  SEGREDO - RS,  CERRO BRANCO - RS,  PARAISO DO SUL - RS",2015-05-21,0,2.5,83489,ADOLFO JOSE BRITO,1472.23,150.5,2015-05-23
BRASILIA - DF,2015-05-26,3,2.5,83622,ADOLFO JOSE BRITO,1861.93,0.0,2015-05-28
"LAGOA BONITA DO SUL - RS,  SOBRADINHO - RS,  CANDELARIA - RS",2015-06-04,0,2.5,83803,ADOLFO JOSE BRITO,1472.23,57.5,2015-06-06
VITORIA - ES,2015-06-10,2,3.5,83913,ADOLFO JOSE BRITO,2606.7,0.0,2015-06-13
"IBARAMA - RS,  SOBRADINHO - RS,  AGUDO - RS,  CANDELARIA - RS",2015-06-18,0,2.5,84204,ADOLFO JOSE BRITO,1472.23,212.0,2015-06-20
"PASSO DO SOBRADO - RS,  NOVO CABRAIS - RS",2015-06-26,0,1.5,84354,ADOLFO JOSE BRITO,883.34,222.8,2015-06-27
BRASILIA - DF,2015-07-07,3,1.5,84495,ADOLFO JOSE BRITO,1117.16,182.72,2015-07-08
"CERRO BRANCO - RS,  CANDELARIA - RS",2015-07-10,0,1.5,84534,ADOLFO JOSE BRITO,883.34,28.5,2015-07-11
"SALTO DO JACUI - RS,  ESTRELA VELHA - RS,  IVORA - RS",2015-08-07,0,1.5,85138,ADOLFO JOSE BRITO,883.34,63.8,2015-08-08
"VALE VERDE - RS,  IBARAMA - RS,  CANDELARIA - RS",2015-08-13,0,2.5,85231,ADOLFO JOSE BRITO,1472.23,249.5,2015-08-15
"CERRO BRANCO - RS,  CANDELARIA - RS",2015-08-21,0,1.5,85504,ADOLFO JOSE BRITO,883.34,68.16,2015-08-22
VALE DO SOL - RS,2015-08-25,0,0.5,85507,ADOLFO JOSE BRITO,294.45,164.17,2015-08-25
BRASILIA - DF,2015-08-26,2,1.5,85540,ADOLFO JOSE BRITO,1117.16,0.0,2015-08-27
BRASILIA - DF,2015-09-01,2,1.0,85840,ADOLFO JOSE BRITO,744.77,0.0,2015-09-02
SANTA CRUZ DO SUL - RS,2015-09-10,0,0.5,85912,ADOLFO JOSE BRITO,294.45,18.5,2015-09-10
"SALTO DO JACUI - RS,  NOVA PALMA - RS",2015-09-11,0,0.5,85912,ADOLFO JOSE BRITO,294.45,65.0,2015-09-11
"LAGOA BONITA DO SUL - RS,  VERA CRUZ - RS",2015-09-12,0,0.5,85912,ADOLFO JOSE BRITO,294.45,10.5,2015-09-12
ESPUMOSO - RS,2015-09-13,0,0.5,85912,ADOLFO JOSE BRITO,294.45,170.99,2015-09-13
BRASILIA - DF,2015-09-14,2,1.0,85996,ADOLFO JOSE BRITO,744.77,0.0,2015-09-15
ARROIO DO TIGRE - RS,2015-10-02,0,0.5,86333,ADOLFO JOSE BRITO,294.45,13.5,2015-10-02
CANDELARIA - RS,2015-10-03,0,0.5,86333,ADOLFO JOSE BRITO,294.45,44.8,2015-10-03
PASSA SETE - RS,2015-10-09,0,0.5,86520,ADOLFO JOSE BRITO,294.45,173.0,2015-10-09
VALE VERDE - RS,2015-10-10,0,0.5,86520,ADOLFO JOSE BRITO,294.45,21.95,2015-10-10
ESTRELA VELHA - RS,2015-10-16,0,0.5,86828,ADOLFO JOSE BRITO,294.45,149.4,2015-10-16
CANDELARIA - RS,2015-10-17,0,0.5,86828,ADOLFO JOSE BRITO,294.45,47.8,2015-10-17
SANTA CRUZ DO SUL - RS,2015-10-23,0,0.5,86831,ADOLFO JOSE BRITO,294.45,166.0,2015-10-23
BRASILIA - DF,2015-10-27,3,1.0,87072,ADOLFO JOSE BRITO,744.77,0.0,2015-10-28
AGUDO - RS,2015-11-13,0,0.5,87243,ADOLFO JOSE BRITO,294.45,15.0,2015-11-13
CANDELARIA - RS,2015-11-14,0,0.5,87243,ADOLFO JOSE BRITO,294.45,19.0,2015-11-14
NOVO CABRAIS - RS,2015-11-19,0,0.5,87421,ADOLFO JOSE BRITO,294.45,32.0,2015-11-19
"CANDELARIA - RS,  SOBRADINHO - RS",2015-11-20,0,0.5,87421,ADOLFO JOSE BRITO,294.45,30.0,2015-11-20
SANTA CRUZ DO SUL - RS,2015-11-21,0,0.5,87421,ADOLFO JOSE BRITO,294.45,13.6,2015-11-21
ITAPUCA - RS,2015-11-22,0,0.5,87421,ADOLFO JOSE BRITO,294.45,21.5,2015-11-22
ARROIO DO TIGRE - RS,2015-11-27,0,0.5,87713,ADOLFO JOSE BRITO,294.45,22.0,2015-11-27
"CAPAO DA CANOA - RS,  FORQUETINHA - RS,  CASCA - RS,  ESTRELA - RS",2015-02-26,0,3.0,81436,ALEXANDRE POSTAL,1766.67,94.0,2015-02-28
"CAPAO DA CANOA - RS,  FORQUETINHA - RS,  CASCA - RS,  ESTRELA - RS",2015-03-01,0,1.5,81436,ALEXANDRE POSTAL,883.34,60.11,2015-03-02
"DOIS LAJEADOS - RS,  NOVA PRATA - RS,  DAVID CANABARRO - RS,  GARIBALDI - RS",2015-03-13,0,3.5,81810,ALEXANDRE POSTAL,2061.12,120.0,2015-03-16
GARIBALDI - RS,2015-05-07,0,0.5,83161,ALEXANDRE POSTAL,294.45,21.5,2015-05-07
"ENCANTADO - RS,  ILOPOLIS - RS,  ROCA SALES - RS,  VISTA ALEGRE DO PRATA - RS",2015-05-14,0,2.5,83302,ALEXANDRE POSTAL,1472.23,121.07,2015-05-16
BRASILIA - DF,2015-05-26,2,2.5,83652,ALEXANDRE POSTAL,1861.93,0.0,2015-05-28
CASCA - RS,2015-05-29,0,1.5,83655,ALEXANDRE POSTAL,883.34,58.25,2015-05-30
"CARLOS BARBOSA - RS,  DOIS LAJEADOS - RS,  GARIBALDI - RS",2015-07-02,0,2.5,84389,ALEXANDRE POSTAL,1472.23,80.0,2015-07-04
PARAI - RS,2015-07-10,0,0.5,84598,ALEXANDRE POSTAL,294.45,0.0,2015-07-10
"MONTE BELO DO SUL - RS,  NOVA BASSANO - RS,  VERANOPOLIS - RS,  NOVA ARACA - RS,  VANINI - RS",2015-07-20,0,4.5,84856,ALEXANDRE POSTAL,2650.01,140.07999999999998,2015-07-24
"Seattle - ESTADOS UNIDOS DA AMERICA,  Washington - ESTADOS UNIDOS DA AMERICA,  Vancouver - CANADA",2015-07-31,2,0.5,84848,ALEXANDRE POSTAL,671.02,0.0,2015-07-31
"Seattle - ESTADOS UNIDOS DA AMERICA,  Washington - ESTADOS UNIDOS DA AMERICA,  Vancouver - CANADA",2015-08-01,1,5.0,84848,ALEXANDRE POSTAL,6710.2,0.0,2015-08-05
"CARLOS BARBOSA - RS,  NOVA ARACA - RS,  ENCANTADO - RS",2015-08-13,0,2.5,85251,ALEXANDRE POSTAL,1472.23,85.01,2015-08-15
GARIBALDI - RS,2015-10-23,0,0.5,86811,ALEXANDRE POSTAL,294.45,25.0,2015-10-23
ENCANTADO - RS,2015-10-24,0,0.5,86811,ALEXANDRE POSTAL,294.45,20.04,2015-10-24
BOA VISTA DO SUL - RS,2015-10-25,0,0.5,86811,ALEXANDRE POSTAL,294.45,25.01,2015-10-25
IBIRAIARAS - RS,2015-10-29,0,0.5,87014,ALEXANDRE POSTAL,294.45,30.0,2015-10-29
VESPASIANO CORREA - RS,2015-10-30,0,0.5,87014,ALEXANDRE POSTAL,294.45,15.0,2015-10-30
MONTE BELO DO SUL - RS,2015-11-13,0,0.5,87255,ALEXANDRE POSTAL,294.45,23.5,2015-11-13
BRASILIA - DF,2015-11-25,2,1.0,87554,ALEXANDRE POSTAL,744.77,0.0,2015-11-26
"HORIZONTINA - RS,  DOUTOR MAURICIO CARDOSO - RS",2015-01-31,0,0.5,81084,ALOISIO TALSO CLASSMANN,233.05,70.0,2015-01-31
"HORIZONTINA - RS,  DOUTOR MAURICIO CARDOSO - RS",2015-02-01,0,2.0,81084,ALOISIO TALSO CLASSMANN,932.2,46.019999999999996,2015-02-02
BRASILIA - DF,2015-02-10,3,0.5,81145,ALOISIO TALSO CLASSMANN,372.39,0.0,2015-02-10
"CORONEL BICACO - RS,  IJUI - RS",2015-02-12,0,3.5,81241,ALOISIO TALSO CLASSMANN,2061.12,104.5,2015-02-15
"PASSO FUNDO - RS,  SANTO AUGUSTO - RS",2015-02-21,0,2.5,81314,ALOISIO TALSO CLASSMANN,1472.23,64.5,2015-02-23
"HUMAITA - RS,  HORIZONTINA - RS",2015-02-26,0,3.0,81482,ALOISIO TALSO CLASSMANN,1766.67,105.0,2015-02-28
"HUMAITA - RS,  HORIZONTINA - RS",2015-03-01,0,0.5,81482,ALOISIO TALSO CLASSMANN,294.45,22.0,2015-03-01
"GIRUA - RS,  SAO VALERIO DO SUL - RS",2015-03-05,0,2.5,81685,ALOISIO TALSO CLASSMANN,1472.23,105.0,2015-03-07
NAO-ME-TOQUE - RS,2015-03-09,0,0.5,81685,ALOISIO TALSO CLASSMANN,294.45,16.0,2015-03-09
"CAMPO NOVO - RS,  NOVA BOA VISTA - RS",2015-03-12,0,3.5,81869,ALOISIO TALSO CLASSMANN,2061.12,98.0,2015-03-15
"LAGOA DOS TRES CANTOS - RS,  AUGUSTO PESTANA - RS",2015-03-20,0,2.5,82056,ALOISIO TALSO CLASSMANN,1472.23,72.0,2015-03-22
SAO LOURENCO DO SUL - RS,2015-03-26,0,1.5,82151,ALOISIO TALSO CLASSMANN,883.34,80.0,2015-03-27
"CRISSIUMAL - RS,  INDEPENDENCIA - RS,  MATO QUEIMADO - RS",2015-04-09,0,4.5,82469,ALOISIO TALSO CLASSMANN,2650.01,130.0,2015-04-13
"TRES PASSOS - RS,  SANTO CRISTO - RS",2015-04-16,0,3.5,82691,ALOISIO TALSO CLASSMANN,2061.12,102.5,2015-04-19
"SANTO ANGELO - RS,  TRES DE MAIO - RS",2015-04-30,0,0.5,83051,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-04-30
"SANTO ANGELO - RS,  TRES DE MAIO - RS",2015-05-01,0,3.0,83051,ALOISIO TALSO CLASSMANN,1766.67,82.0,2015-05-03
"SAO PAULO DAS MISSOES - RS,  AJURICABA - RS",2015-05-07,0,3.5,83187,ALOISIO TALSO CLASSMANN,2061.12,106.0,2015-05-10
Paris - FRANCA,2015-05-22,3,6.5,83254,ALOISIO TALSO CLASSMANN,8874.84,0.0,2015-05-28
PALMITINHO - RS,2015-08-13,0,1.5,85287,ALOISIO TALSO CLASSMANN,883.34,45.0,2015-08-14
ESPERANCA DO SUL - RS,2015-08-15,0,0.5,85287,ALOISIO TALSO CLASSMANN,294.45,18.5,2015-08-15
PORTO MAUA - RS,2015-08-27,0,1.5,85654,ALOISIO TALSO CLASSMANN,883.34,45.5,2015-08-28
INDEPENDENCIA - RS,2015-09-10,0,0.5,85924,ALOISIO TALSO CLASSMANN,294.45,46.0,2015-09-10
INDEPENDENCIA - RS,2015-09-11,0,0.5,85924,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-09-11
SANTO CRISTO - RS,2015-09-12,0,0.5,85924,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-09-12
SANTO CRISTO - RS,2015-09-13,0,0.5,85924,ALOISIO TALSO CLASSMANN,294.45,20.0,2015-09-13
TUPARENDI - RS,2015-09-24,0,0.5,86215,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-09-24
TUPARENDI - RS,2015-09-25,0,0.5,86215,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-09-25
SAO PEDRO DO BUTIA - RS,2015-09-26,0,0.5,86215,ALOISIO TALSO CLASSMANN,294.45,22.0,2015-09-26
CANDIDO GODOI - RS,2015-10-01,0,0.5,86397,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-10-01
CANDIDO GODOI - RS,2015-10-02,0,0.5,86397,ALOISIO TALSO CLASSMANN,294.45,22.0,2015-10-02
REDENTORA - RS,2015-10-03,0,0.5,86397,ALOISIO TALSO CLASSMANN,294.45,24.0,2015-10-03
REDENTORA - RS,2015-10-04,0,0.5,86397,ALOISIO TALSO CLASSMANN,294.45,30.0,2015-10-04
CERRO LARGO - RS,2015-10-09,0,0.5,86547,ALOISIO TALSO CLASSMANN,294.45,30.0,2015-10-09
TENENTE PORTELA - RS,2015-10-10,0,0.5,86547,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-10-10
IJUI - RS,2015-10-11,0,0.5,86547,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-10-11
CAMPINA DAS MISSOES - RS,2015-10-22,0,0.5,86851,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-10-22
CAMPINA DAS MISSOES - RS,2015-10-23,0,0.5,86851,ALOISIO TALSO CLASSMANN,294.45,22.0,2015-10-23
NOVA CANDELARIA - RS,2015-10-24,0,0.5,86851,ALOISIO TALSO CLASSMANN,294.45,23.0,2015-10-24
DOUTOR MAURICIO CARDOSO - RS,2015-10-25,0,0.5,86851,ALOISIO TALSO CLASSMANN,294.45,23.0,2015-10-25
DOUTOR MAURICIO CARDOSO - RS,2015-10-26,0,0.5,86851,ALOISIO TALSO CLASSMANN,294.45,18.0,2015-10-26
ALECRIM - RS,2015-10-29,0,0.5,87025,ALOISIO TALSO CLASSMANN,294.45,25.0,2015-10-29
ALECRIM - RS,2015-10-30,0,0.5,87025,ALOISIO TALSO CLASSMANN,294.45,20.0,2015-10-30
HUMAITA - RS,2015-10-31,0,0.5,87025,ALOISIO TALSO CLASSMANN,294.45,24.0,2015-10-31
HUMAITA - RS,2015-11-02,0,0.5,87025,ALOISIO TALSO CLASSMANN,294.45,20.0,2015-11-02
SEDE NOVA - RS,2015-11-05,0,0.5,87152,ALOISIO TALSO CLASSMANN,294.45,20.0,2015-11-05
SEDE NOVA - RS,2015-11-06,0,0.5,87152,ALOISIO TALSO CLASSMANN,294.45,28.0,2015-11-06
TRES PASSOS - RS,2015-11-07,0,0.5,87152,ALOISIO TALSO CLASSMANN,294.45,20.0,2015-11-07
TRES PASSOS - RS,2015-11-08,0,0.5,87152,ALOISIO TALSO CLASSMANN,294.45,26.0,2015-11-08
MATO QUEIMADO - RS,2015-11-12,0,0.5,87274,ALOISIO TALSO CLASSMANN,294.45,22.0,2015-11-12
MATO QUEIMADO - RS,2015-11-13,0,0.5,87274,ALOISIO TALSO CLASSMANN,294.45,22.0,2015-11-13
TUCUNDUVA - RS,2015-11-14,0,0.5,87274,ALOISIO TALSO CLASSMANN,294.45,28.0,2015-11-14
CAMPO NOVO - RS,2015-11-15,0,0.5,87274,ALOISIO TALSO CLASSMANN,294.45,20.0,2015-11-15
CAMPO NOVO - RS,2015-11-16,0,0.5,87274,ALOISIO TALSO CLASSMANN,294.45,20.0,2015-11-16
PASSO FUNDO - RS,2015-01-07,0,0.5,80858,ALTEMIR ANTONIO TORTELLI,233.05,20.5,2015-01-07
GETULIO VARGAS - RS,2015-01-12,0,0.5,80973,ALTEMIR ANTONIO TORTELLI,233.05,25.0,2015-01-12
PASSO FUNDO - RS,2015-01-20,0,0.5,80975,ALTEMIR ANTONIO TORTELLI,233.05,10.1,2015-01-20
NAO-ME-TOQUE - RS,2015-03-09,0,0.5,81627,ALTEMIR ANTONIO TORTELLI,294.45,0.0,2015-03-09
SANANDUVA - RS,2015-03-19,0,0.5,81919,ALTEMIR ANTONIO TORTELLI,294.45,11.0,2015-03-19
RIO PARDO - RS,2015-03-25,0,0.5,82053,ALTEMIR ANTONIO TORTELLI,294.45,0.0,2015-03-25
PASSO FUNDO - RS,2015-03-30,0,0.5,82165,ALTEMIR ANTONIO TORTELLI,294.45,25.0,2015-03-30
CHAPECO - SC,2015-04-10,1,0.5,82423,ALTEMIR ANTONIO TORTELLI,372.39,0.0,2015-04-10
GRAMADO XAVIER - RS,2015-04-12,0,0.5,82447,ALTEMIR ANTONIO TORTELLI,294.45,0.0,2015-04-12
"VENANCIO AIRES - RS,  VALE DO SOL - RS",2015-04-30,0,0.5,82979,ALTEMIR ANTONIO TORTELLI,294.45,0.0,2015-04-30
"VENANCIO AIRES - RS,  VALE DO SOL - RS",2015-05-01,0,1.0,82979,ALTEMIR ANTONIO TORTELLI,588.89,242.0,2015-05-01
BRASILIA - DF,2015-05-13,2,1.5,83265,ALTEMIR ANTONIO TORTELLI,1117.16,0.0,2015-05-14
"CAMBARA DO SUL - RS,  SAO FRANCISCO DE PAULA - RS",2015-05-15,0,1.5,83282,ALTEMIR ANTONIO TORTELLI,883.34,296.5,2015-05-16
"TIRADENTES DO SUL - RS,  CRISSIUMAL - RS",2015-05-22,0,1.5,83553,ALTEMIR ANTONIO TORTELLI,883.34,49.0,2015-05-23
SERAFINA CORREA - RS,2015-06-06,0,0.5,83806,ALTEMIR ANTONIO TORTELLI,294.45,10.0,2015-06-06
"CAMBARA DO SUL - RS,  SAO FRANCISCO DE PAULA - RS",2015-07-10,0,1.5,84557,ALTEMIR ANTONIO TORTELLI,883.34,100.0,2015-07-11
SARANDI - RS,2015-07-16,0,1.5,84776,ALTEMIR ANTONIO TORTELLI,883.34,100.0,2015-07-17
